x,y,z
152.075,-27.0416666666667,405
152.091666666667,-27.0416666666667,421
152.108333333333,-27.0416666666667,444
152.125,-27.0416666666667,386
152.141666666667,-27.0416666666667,353
152.158333333333,-27.0416666666667,376
152.175,-27.0416666666667,408
152.191666666667,-27.0416666666667,395
152.208333333333,-27.0416666666667,364
152.225,-27.0416666666667,218
152.241666666667,-27.0416666666667,260
152.258333333333,-27.0416666666667,309
152.275,-27.0416666666667,241
152.291666666667,-27.0416666666667,353
152.308333333333,-27.0416666666667,182
152.325,-27.0416666666667,136
152.341666666667,-27.0416666666667,144
152.358333333333,-27.0416666666667,103
152.375,-27.0416666666667,94
152.391666666667,-27.0416666666667,88
152.408333333333,-27.0416666666667,87
152.425,-27.0416666666667,90
152.441666666667,-27.0416666666667,104
152.458333333333,-27.0416666666667,115
152.475,-27.0416666666667,138
152.491666666667,-27.0416666666667,265
152.508333333333,-27.0416666666667,315
152.525,-27.0416666666667,284
152.541666666667,-27.0416666666667,168
152.558333333333,-27.0416666666667,112
152.575,-27.0416666666667,128
152.591666666667,-27.0416666666667,275
152.608333333333,-27.0416666666667,288
152.625,-27.0416666666667,197
152.641666666667,-27.0416666666667,243
152.658333333333,-27.0416666666667,270
152.675,-27.0416666666667,306
152.691666666667,-27.0416666666667,278
152.708333333333,-27.0416666666667,302
152.725,-27.0416666666667,374
152.741666666667,-27.0416666666667,393
152.758333333333,-27.0416666666667,412
152.775,-27.0416666666667,405
152.791666666667,-27.0416666666667,371
152.808333333333,-27.0416666666667,194
152.825,-27.0416666666667,89
152.841666666667,-27.0416666666667,56
152.858333333333,-27.0416666666667,48
152.875,-27.0416666666667,34
152.891666666667,-27.0416666666667,30
152.908333333333,-27.0416666666667,28
152.925,-27.0416666666667,26
152.941666666667,-27.0416666666667,18
152.958333333333,-27.0416666666667,16
152.975,-27.0416666666667,22
152.991666666667,-27.0416666666667,30
153.008333333333,-27.0416666666667,25
153.025,-27.0416666666667,12
153.041666666667,-27.0416666666667,7
153.058333333333,-27.0416666666667,5
153.075,-27.0416666666667,5
153.091666666667,-27.0416666666667,8
153.108333333333,-27.0416666666667,-1
153.125,-27.0416666666667,0
153.141666666667,-27.0416666666667,6
153.158333333333,-27.0416666666667,7
153.175,-27.0416666666667,7
153.191666666667,-27.0416666666667,0
153.208333333333,-27.0416666666667,-5
153.225,-27.0416666666667,-11
153.241666666667,-27.0416666666667,-17
153.258333333333,-27.0416666666667,-22
153.275,-27.0416666666667,-24
153.291666666667,-27.0416666666667,-28
153.308333333333,-27.0416666666667,-28
153.325,-27.0416666666667,-27
153.341666666667,-27.0416666666667,-20
153.358333333333,-27.0416666666667,-7
153.375,-27.0416666666667,13
153.391666666667,-27.0416666666667,27
153.408333333333,-27.0416666666667,30
153.425,-27.0416666666667,17
153.441666666667,-27.0416666666667,18
153.458333333333,-27.0416666666667,-6
153.475,-27.0416666666667,-33
153.491666666667,-27.0416666666667,-61
153.508333333333,-27.0416666666667,-80
153.525,-27.0416666666667,-91
153.541666666667,-27.0416666666667,-95
153.558333333333,-27.0416666666667,-98
153.575,-27.0416666666667,-103
153.591666666667,-27.0416666666667,-122
153.608333333333,-27.0416666666667,-140
153.625,-27.0416666666667,-143
153.641666666667,-27.0416666666667,-143
153.658333333333,-27.0416666666667,-164
153.675,-27.0416666666667,-186
153.691666666667,-27.0416666666667,-213
153.708333333333,-27.0416666666667,-234
153.725,-27.0416666666667,-241
153.741666666667,-27.0416666666667,-247
153.758333333333,-27.0416666666667,-250
153.775,-27.0416666666667,-271
153.791666666667,-27.0416666666667,-314
153.808333333333,-27.0416666666667,-374
153.825,-27.0416666666667,-526
153.841666666667,-27.0416666666667,-650
153.858333333333,-27.0416666666667,-856
153.875,-27.0416666666667,-1014
153.891666666667,-27.0416666666667,-1261
153.908333333333,-27.0416666666667,-1487
153.925,-27.0416666666667,-1725
153.941666666667,-27.0416666666667,-1929
153.958333333333,-27.0416666666667,-2083
153.975,-27.0416666666667,-2211
153.991666666667,-27.0416666666667,-2396
154.008333333333,-27.0416666666667,-2572
154.025,-27.0416666666667,-2720
154.041666666667,-27.0416666666667,-2880
154.058333333333,-27.0416666666667,-3125
154.075,-27.0416666666667,-3348
154.091666666667,-27.0416666666667,-3528
154.108333333333,-27.0416666666667,-3660
154.125,-27.0416666666667,-3795
154.141666666667,-27.0416666666667,-3922
154.158333333333,-27.0416666666667,-4035
154.175,-27.0416666666667,-4132
154.191666666667,-27.0416666666667,-4208
154.208333333333,-27.0416666666667,-4267
154.225,-27.0416666666667,-4317
154.241666666667,-27.0416666666667,-4357
154.258333333333,-27.0416666666667,-4392
154.275,-27.0416666666667,-4419
154.291666666667,-27.0416666666667,-4445
154.308333333333,-27.0416666666667,-4466
154.325,-27.0416666666667,-4489
154.341666666667,-27.0416666666667,-4509
154.358333333333,-27.0416666666667,-4532
154.375,-27.0416666666667,-4554
154.391666666667,-27.0416666666667,-4575
154.408333333333,-27.0416666666667,-4591
154.425,-27.0416666666667,-4601
154.441666666667,-27.0416666666667,-4603
154.458333333333,-27.0416666666667,-4595
154.475,-27.0416666666667,-4581
154.491666666667,-27.0416666666667,-4566
154.508333333333,-27.0416666666667,-4555
154.525,-27.0416666666667,-4554
154.541666666667,-27.0416666666667,-4563
